Date,Open,High,Low,Close,Adj Close,Volume
2022-07-18,36.259998,36.959999,36.160000,36.919998,34.175537,81129
2022-07-19,36.939999,37.080002,36.259998,36.799999,34.064461,168931
2022-07-20,36.939999,37.099998,36.700001,36.799999,34.064461,148084
2022-07-21,36.840000,37.180000,36.639999,36.860001,34.119999,153894
2022-07-22,34.560001,35.080002,34.299999,34.599998,34.599998,153812
2022-07-25,34.700001,34.919998,34.500000,34.799999,34.799999,80473
2022-07-26,34.799999,34.799999,34.000000,34.000000,34.000000,99393
2022-07-27,34.240002,34.240002,33.900002,34.160000,34.160000,50655
2022-07-28,34.340000,34.439999,34.060001,34.299999,34.299999,69597
2022-07-29,34.400002,35.419998,34.200001,35.340000,35.340000,89855
2022-08-01,35.419998,35.700001,35.139999,35.540001,35.540001,44190
2022-08-02,35.639999,36.139999,35.540001,36.000000,36.000000,93565
2022-08-03,36.139999,36.360001,36.000000,36.320000,36.320000,104924
2022-08-04,36.360001,36.400002,35.700001,35.959999,35.959999,52809
2022-08-05,36.000000,36.540001,36.000000,36.400002,36.400002,70433
2022-08-08,36.400002,37.180000,36.400002,37.180000,37.180000,92404
2022-08-09,37.220001,37.400002,36.939999,37.340000,37.340000,76336
2022-08-10,37.320000,37.320000,36.119999,36.700001,36.700001,64894
2022-08-11,36.840000,37.020000,36.400002,36.400002,36.400002,37296
2022-08-12,36.400002,36.959999,36.020000,36.099998,36.099998,64256
2022-08-15,null,null,null,null,null,null
2022-08-16,36.400002,36.400002,36.040001,36.200001,36.200001,90101
2022-08-17,36.299999,36.660000,35.900002,36.060001,36.060001,104977
2022-08-18,36.220001,36.299999,35.799999,36.200001,36.200001,19115
2022-08-19,36.279999,36.279999,35.580002,35.639999,35.639999,19556
2022-08-22,35.779999,36.000000,35.540001,36.000000,36.000000,57853
2022-08-23,35.959999,35.959999,35.400002,35.500000,35.500000,48479
2022-08-24,35.500000,35.840000,35.220001,35.459999,35.459999,32405
2022-08-25,35.599998,35.759998,35.220001,35.259998,35.259998,36232
2022-08-26,35.419998,35.520000,35.299999,35.400002,35.400002,54218
2022-08-29,35.340000,35.340000,34.540001,35.060001,35.060001,67089
2022-08-30,35.000000,35.340000,34.380001,34.580002,34.580002,68660
2022-08-31,34.680000,34.900002,34.400002,34.400002,34.400002,33021
2022-09-01,34.480000,34.480000,34.099998,34.099998,34.099998,45428
2022-09-02,34.099998,34.599998,34.040001,34.160000,34.160000,35962
2022-09-05,34.500000,35.220001,34.240002,35.180000,35.180000,64923
2022-09-06,35.160000,35.160000,34.160000,34.200001,34.200001,28841
2022-09-07,34.320000,34.720001,34.160000,34.639999,34.639999,16289
2022-09-08,34.799999,35.000000,34.240002,34.660000,34.660000,31339
2022-09-09,34.799999,35.740002,34.799999,35.700001,35.700001,34185
